seed,policy,schedule_hash,admissions,entrants_offered,mean_waiting_time,protected_agent_epochs,active_floor_epochs,infeasible_floor_epochs,discrete_floor_violations,floor_shortfall_total,scaled_floor_shortfall_total,mean_floor_shortfall,lease_expiries,mean_churn_frac,mean_incumbent_utility_change,worst_incumbent_loss,shortfall_epochs,mean_shortfall_scale,noop_events,capacity_violations
959651519,permanent_floors,1606744d6177b704,5,5,0.0,314,99,0,29,1.3888352182729164,0.0,0.04789086959561781,0,0.05612758996728462,0.2844981388074563,-94.80952380952381,0,1.0,6,0
959651519,leases,1606744d6177b704,5,5,0.0,288,98,11,37,494.65709395297745,0.0,13.369110647377768,26,0.07853980370774265,0.2086039323473372,-57.83211678832117,0,1.0,6,0
959651519,leases_shortfall,1606744d6177b704,5,5,0.0,288,98,11,37,15.558101947416304,0.5455306280224193,0.42048924182206227,26,0.08002944383860415,0.2086039323473372,-74.72580645161291,11,0.992828759280118,6,0
2251512281,reoptimize,31f451865aa642dd,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0679038760468072,0.14253533876462593,-47.72262773722625,0,1.0,6,0
2251512281,permanent_floors,31f451865aa642dd,5,5,0.0,458,99,0,45,4.119075351836585,0.0,0.09153500781859078,0,0.06636614522517148,0.5645637384708753,-47.72262773722625,0,1.0,6,0
2251512281,leases,31f451865aa642dd,5,5,0.0,417,95,0,24,1.2765259705913934,0.0,0.053188582107974725,41,0.06938130427786725,0.4130692538870287,-47.72262773722625,0,1.0,6,0
2251512281,leases_shortfall,31f451865aa642dd,5,5,0.0,417,95,0,24,1.2765259705913934,0.0,0.053188582107974725,41,0.06938130427786725,0.4130692538870287,-47.72262773722625,0,1.0,6,0
2614883986,reoptimize,86561720603c6633,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07896601581753314,-0.037328967603159416,-31.171532846715323,0,1.0,6,0
2614883986,permanent_floors,86561720603c6633,5,5,0.2,451,99,2,13,98.40355363670962,0.0,7.56950412590074,0,0.07934877027497547,0.2957451360428112,-48.12043795620437,0,1.0,6,0
2614883986,leases,86561720603c6633,5,5,0.2,413,99,1,17,38.978927504334784,0.0,2.2928780884902813,38,0.08490872587012255,0.36841178143261377,-48.441176470588246,0,1.0,6,0
2614883986,leases_shortfall,86561720603c6633,5,5,0.2,413,99,1,16,2.307520507103483,0.10164442549658759,0.1442200316939677,38,0.08180834467571342,0.36841178143261377,-48.441176470588246,1,0.9995532035827637,6,0
2734273027,reoptimize,6d372dbad10a76ab,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07163497804923363,0.16900024478952383,-42.325581395348834,0,1.0,7,0
2734273027,permanent_floors,6d372dbad10a76ab,5,5,0.0,440,99,42,161,2711.9507619105393,0.0,16.844414670251798,0,0.0727745599777569,0.2600936421089306,-42.325581395348834,0,1.0,7,0
2734273027,leases,6d372dbad10a76ab,5,5,2.0,393,99,13,49,446.7375483765361,0.0,9.11709282401094,37,0.06881217055985822,0.22551155323376948,-83.32558139534883,0,1.0,7,0
2734273027,leases_shortfall,6d372dbad10a76ab,5,5,2.0,393,99,13,61,16.522960725972837,4.387259284393707,0.27086820862250555,37,0.07969075989018773,0.36429779088907377,-86.19841269841271,13,0.997845356280987,7,0
1656093449,reoptimize,733d581bfed35f36,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0708522655832037,-0.03919658626982285,-27.767441860465098,0,1.0,4,0
1656093449,permanent_floors,733d581bfed35f36,5,5,10.8,564,99,30,174,5672.356891301031,0.0,32.599752248856504,0,0.06658631503428145,0.24849705312175224,-68.45714285714286,0,1.0,4,0
1656093449,leases,733d581bfed35f36,5,5,3.0,548,95,0,58,8.083194905869085,0.0,0.13936542941153596,55,0.07267753992105776,0.07036432485275626,-58.283783783783775,0,1.0,4,0
1656093449,leases_shortfall,733d581bfed35f36,5,5,3.0,548,95,0,58,8.083194905869085,0.0,0.13936542941153596,55,0.07267753992105776,0.07036432485275626,-58.283783783783775,0,1.0,4,0
1201986794,reoptimize,291fcd9ffcc090e2,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06603157919981148,-0.053304985058578405,-19.43103448275862,0,1.0,5,0
1201986794,permanent_floors,291fcd9ffcc090e2,5,5,5.2,509,99,14,97,1786.5298513970063,0.0,18.417833519556766,0,0.06409024982039498,0.08378198896519445,-40.37606837606837,0,1.0,5,0
